拍卖时间,投放数量,最低成交价,平均成交价,最低成交价截止时间,投标人数
2014年1月,8100,73500,73501,11:29:59 第158位,41946
2014年2月,7400,73200,73357,11:29:44 第347位,45758
2014年3月,7400,73800,73872,11:29:48 第259位,61853
2014年4月,8200,74000,74113,11:29:45 第44位,94241
2014年5月,7400,74400,74503,11:29:48 第219位,114121
2014年6月,7400,73800,73896,11:29:45 第238位,135677
2014年7月,7400,74600,74680,11:29:59 第23位,136098
2014年8月,7400,73600,73785,11:29:44 第53位,121550
2014年9月,8300,73800,73875,11:29:52 第183位,122219
2014年10月,7400,74000,74075,11:29:59 第30位,105532
2014年11月,7400,73500,73633,11:29:50 第77位,95595
2014年12月,7447,73600,73687,11:29:56 第628位,96972
