拍卖时间,投放数量,最低成交价,平均成交价,最低成交价截止时间,投标人数
2010年1月,8000,37800,38311,11:29:34 第9位,18975
2010年2月,7500,38300,38620,11:29:39 第52位,18810
2010年3月,8000,39600,39882,11:29:18 第9位,17704
2010年4月,8500,41000,41637,11:29:57 第28位,17313
2010年5月,8500,41900,42262,11:29:51 第61位,16324
2010年6月,9200,39200,40380,11:29:45 第57位,16252
2010年7月,9000,38400,39362,11:29:49 第41位,13389
2010年8月,9000,39800,40169,10:57:19 第2位,16855
2010年9月,9000,41800,42180,10:59:41 第4位,15198
2010年10月,9000,43000,43271,11:29:38 第48位,14941
2010年11月,8500,44900,45291,11:29:59 第30位,13429
2010年12月,9000,10400,15970,11:21:39 第2位,11224
