拍卖时间,投放数量,最低成交价,平均成交价,最低成交价截止时间,投标人数
2016年1月,9409,82200,82352,11:29:46 第491位,187533
2016年2月,8363,83200,83244,11:29:58 第224位,196470
2016年3月,8310,83100,83148,11:29:57 第1040位,221109
2016年4月,11829,85100,85127,11:29:59 第1396位,256897
2016年5月,11598,85000,85058,11:29:58 第696位,277889
2016年6月,11546,84400,84483,11:29:54 第292位,275438
2016年7月,11475,87200,87235,11:29:57 第2457位,240750
2016年8月,11549,86900,86946,11:29:58 第3113位,251188
2016年9月,12889,86500,86523,11:29:59 第2864位,229544
2016年10月,11621,88300,88359,11:29:59 第759位,213212
2016年11月,11549,88600,88665,11:29:57 第2181位,215424
2016年12月,12261,88300,88412,11:29:54 第1512位,219882
