拍卖时间,投放数量,最低成交价,平均成交价,最低成交价截止时间,投标人数
2012年1月,8000,52800,53195,11:29:55 第12位,24354
2012年2月,8000,55400,55632,11:29:59 第155位,23391
2012年3月,8000,58300,58625,11:29:45 第65位,24897
2012年4月,8500,61000,61626,11:29:57 第251位,22706
2012年5月,9300,64000,64367,10:56:29 第3位,24230
2012年6月,9500,55800,58227,11:29:45 第4位,24774
2012年7月,9500,57700,58271,11:29:53 第120位,26526
2012年8月,9500,62100,62559,11:29:54 第1位,21425
2012年9月,9500,65700,66425,11:29:57 第152位,19114
2012年10月,9500,65200,66708,11:29:48 第8位,19921
2012年11月,9500,66400,66946,11:29:52 第31位,19120
2012年12月,9300,68900,69346,11:29:21 第13位,18244
