拍卖时间,投放数量,最低成交价,平均成交价,最低成交价截止时间,投标人数
2017年1月,12215,87600,87685,11:29:57 第4000位,232101
2017年2月,10157,88200,88240,11:29:58 第843位,251717
2017年3月,10356,87800,87916,11:29:55 第1476位,262010
2017年4月,12196,89800,89850,11:29:59 第154位,252273
2017年5月,10316,90100,90209,11:29:55 第1145位,270197
2017年6月,10312,89400,89532,11:29:45 第766位,244349
2017年7月,10325,92200,92250,11:29:57 第1471位,269189
2017年8月,10558,91600,91629,11:29:59 第1468位,256083
2017年9月,12413,91300,91415,11:29:56 第2101位,250566
2017年10月,11388,93500,93540,11:29:59 第2535位,244868
2017年11月,11002,93100,93130,11:29:59 第1025位,226911
2017年12月,12147,92800,92848,11:29:58 第3160位,228148
